1, 22, 0, 0, 20, 0
1, 16, 20, 0, 20, 5
1, 16, 20, 20, 20, 10
1, 16, 0, 0, 20, 15
1, 21, 0, 0, 0, 20
2, 22, 0, 0, 20, 0
2, 16, -20, 0, 20, 5
2, 16, -20, 20, 20, 10
2, 16, 0, 0, 20, 15
2, 21, 0, 0, 0, 20
3, 22, 0, 0, 20, 0
3, 16, 0, 20, 20, 5
3, 16, -20, 20, 20, 10
3, 16, 0, 0, 20, 15
3, 21, 0, 0, 0, 20
4, 22, 0, 0, 20, 0
4, 16, 0, -20, 20, 5
4, 16, -20, -20, 20, 10
4, 16, 0, 0, 20, 15
4, 21, 0, 0, 0, 20
5, 22, 0, 0, 20, 0
5, 16, 20, 0, 20, 5
5, 16, 20, -20, 20, 10
5, 16, 0, 0, 20, 15
5, 21, 0, 0, 0, 20
